t,cell,size,z,r,p
88.00356,6.0,1.0,10.0,65.0,4343.0
89.02255,6.0,1.0,10.0,65.0,4393.0
90.00323,6.0,1.0,11.0,67.0,4444.0
91.00133,6.0,1.0,11.0,70.0,4494.0
92.01192,6.0,1.0,11.0,71.0,4556.0
93.09592,6.0,1.0,11.0,73.0,4610.0
94.03375,6.0,1.0,11.0,75.0,4650.0
95.00745,6.0,1.0,11.0,78.0,4693.0
96.00882,6.0,1.0,11.0,78.0,4744.0
97.04479,6.0,1.0,11.0,77.0,4792.0
98.00678,6.0,1.0,12.0,77.0,4834.0
99.01411,6.0,1.0,12.0,78.0,4885.0
100.04348,6.0,1.0,12.0,80.0,4931.0
101.00805,6.0,1.0,12.0,83.0,4977.0
102.01584,6.0,1.0,12.0,84.0,5029.0
103.05546,6.0,1.0,12.0,83.0,5077.0
104.03075,6.0,1.0,12.0,83.0,5129.0
105.05657,6.0,1.0,12.0,83.0,5177.0
106.0186,6.0,1.0,11.0,85.0,5231.0
107.02139,6.0,1.0,11.0,86.0,5273.0
108.053,6.0,1.0,11.0,87.0,5319.0
109.03636,6.0,1.0,14.0,88.0,5354.0
110.01571,6.0,1.0,15.0,88.0,5395.0
111.09326,6.0,1.0,15.0,87.0,5451.0
112.02531,6.0,1.0,15.0,87.0,5503.0
113.02758,6.0,1.0,15.0,89.0,5563.0
114.02084,6.0,1.0,15.0,91.0,5614.0
115.02117,6.0,1.0,15.0,91.0,5671.0
116.00023,6.0,1.0,15.0,93.0,5720.0
117.00352,6.0,1.0,15.0,93.0,5784.0
118.0318,6.0,1.0,15.0,94.0,5836.0
119.00372,6.0,1.0,15.0,94.0,5875.0
120.00712,6.0,1.0,15.0,95.0,5923.0
121.01863,6.0,1.0,15.0,95.0,5977.0
122.03974,6.0,1.0,15.0,95.0,6037.0
123.0143,6.0,1.0,15.0,95.0,6091.0
124.01777,6.0,1.0,17.0,97.0,6128.0
125.01917,6.0,1.0,17.0,98.0,6184.0
126.00377,6.0,1.0,16.0,98.0,6231.0
127.01988,6.0,1.0,16.0,99.0,6278.0
128.02848,6.0,1.0,17.0,101.0,6324.0
129.0065,6.0,1.0,17.0,102.0,6375.0
130.06517,6.0,1.0,17.0,104.0,6414.0
131.00027,6.0,1.0,17.0,106.0,6477.0
132.01157,6.0,1.0,17.0,109.0,6532.0
133.02647,6.0,1.0,17.0,111.0,6582.0
134.00382,6.0,1.0,17.0,113.0,6638.0
135.01688,6.0,1.0,19.0,114.0,6685.0
136.02126,6.0,1.0,19.0,114.0,6731.0
137.02671,6.0,1.0,19.0,114.0,6793.0
138.02647,6.0,1.0,19.0,115.0,6839.0
139.0215,6.0,1.0,19.0,117.0,6888.0
140.00351,6.0,1.0,19.0,118.0,6945.0
141.02723,6.0,1.0,18.0,120.0,6990.0
142.03309,6.0,1.0,19.0,120.0,7041.0
143.06492,6.0,1.0,19.0,122.0,7087.0
144.00821,6.0,1.0,19.0,122.0,7135.0
145.02479,6.0,1.0,19.0,124.0,7188.0
146.04546,6.0,1.0,19.0,124.0,7229.0
147.00314,6.0,1.0,19.0,126.0,7261.0
148.00819,6.0,1.0,19.0,127.0,7316.0
149.01753,6.0,1.0,20.0,127.0,7364.0
0.0,7.0,1.0,0.0,0.0,0.0
1.00856,7.0,1.0,0.0,1.0,36.0
2.03186,7.0,1.0,1.0,0.0,81.0
3.05332,7.0,1.0,1.0,1.0,125.0
4.03433,7.0,1.0,1.0,1.0,164.0
5.00472,7.0,1.0,1.0,2.0,224.0
6.03748,7.0,1.0,1.0,2.0,272.0
7.0,7.0,1.0,1.0,1.0,322.0
8.00587,7.0,1.0,2.0,2.0,368.0
9.00281,7.0,1.0,2.0,3.0,412.0
10.05887,7.0,1.0,2.0,2.0,467.0
11.01341,7.0,1.0,2.0,1.0,513.0
12.02707,7.0,1.0,2.0,1.0,564.0
13.00053,7.0,1.0,2.0,2.0,617.0
14.00394,7.0,1.0,2.0,2.0,669.0
15.02446,7.0,1.0,2.0,2.0,722.0
16.01639,7.0,1.0,2.0,3.0,772.0
17.00529,7.0,1.0,2.0,3.0,817.0
18.00327,7.0,1.0,2.0,5.0,867.0
19.02331,7.0,1.0,2.0,5.0,920.0
20.03755,7.0,1.0,3.0,5.0,965.0
21.01538,7.0,1.0,3.0,6.0,1011.0
22.01025,7.0,1.0,3.0,7.0,1066.0
23.02059,7.0,1.0,3.0,7.0,1114.0
24.01669,7.0,1.0,3.0,8.0,1172.0
25.00201,7.0,1.0,3.0,9.0,1226.0
26.01374,7.0,1.0,4.0,10.0,1271.0
27.00423,7.0,1.0,4.0,11.0,1315.0
28.03,7.0,1.0,4.0,11.0,1374.0
29.00764,7.0,1.0,4.0,11.0,1432.0
30.01073,7.0,1.0,5.0,11.0,1484.0
31.0323,7.0,1.0,5.0,11.0,1543.0
32.00224,7.0,1.0,7.0,11.0,1594.0
33.00191,7.0,1.0,8.0,10.0,1636.0
34.00138,7.0,1.0,8.0,9.0,1690.0
35.01556,7.0,1.0,8.0,9.0,1744.0
36.04007,7.0,1.0,9.0,9.0,1789.0
37.04453,7.0,1.0,9.0,13.0,1829.0
38.00621,7.0,1.0,9.0,13.0,1885.0
39.01492,7.0,1.0,11.0,13.0,1927.0
40.00048,7.0,1.0,11.0,13.0,1970.0
41.007,7.0,1.0,12.0,14.0,2015.0
42.00655,7.0,1.0,13.0,14.0,2066.0
43.01233,7.0,1.0,13.0,16.0,2134.0
44.05969,7.0,1.0,14.0,17.0,2186.0
45.02413,7.0,1.0,14.0,16.0,2226.0
46.01679,7.0,1.0,14.0,16.0,2267.0
47.02236,7.0,1.0,14.0,19.0,2307.0
48.0061,7.0,1.0,15.0,19.0,2375.0
49.00624,7.0,1.0,15.0,18.0,2432.0
50.00988,7.0,1.0,15.0,19.0,2484.0
51.03227,7.0,1.0,15.0,20.0,2536.0
52.01058,7.0,1.0,15.0,20.0,2586.0
53.03182,7.0,1.0,15.0,21.0,2649.0
54.00405,7.0,1.0,14.0,21.0,2699.0
55.02052,7.0,1.0,15.0,24.0,2766.0
56.00027,7.0,1.0,16.0,24.0,2808.0
57.01797,7.0,1.0,16.0,24.0,2860.0
58.0052,7.0,1.0,16.0,24.0,2916.0
59.00296,7.0,1.0,16.0,22.0,2972.0
60.0366,7.0,1.0,16.0,24.0,3014.0
61.00312,7.0,1.0,16.0,25.0,3070.0
62.01689,7.0,1.0,15.0,27.0,3126.0
63.03845,7.0,1.0,15.0,27.0,3189.0
64.00969,7.0,1.0,15.0,27.0,3232.0
65.00377,7.0,1.0,15.0,28.0,3300.0
66.01233,7.0,1.0,15.0,29.0,3348.0
67.04556,7.0,1.0,15.0,28.0,3402.0
68.04838,7.0,1.0,15.0,30.0,3446.0
69.01545,7.0,1.0,15.0,31.0,3481.0
70.04463,7.0,1.0,15.0,33.0,3517.0
71.01094,7.0,1.0,15.0,34.0,3562.0
72.00599,7.0,1.0,15.0,34.0,3610.0
73.00537,7.0,1.0,15.0,37.0,3662.0
74.00874,7.0,1.0,15.0,37.0,3697.0
75.00758,7.0,1.0,15.0,38.0,3764.0
76.00008,7.0,1.0,15.0,39.0,3839.0
77.00178,7.0,1.0,15.0,39.0,3888.0
78.03433,7.0,1.0,15.0,39.0,3943.0
79.00179,7.0,1.0,15.0,41.0,3998.0
80.0046,7.0,1.0,15.0,42.0,4047.0
81.01808,7.0,1.0,15.0,43.0,4089.0
82.00333,7.0,1.0,15.0,43.0,4140.0
83.00057,7.0,1.0,15.0,44.0,4190.0
84.02186,7.0,1.0,15.0,44.0,4234.0
85.01871,7.0,1.0,16.0,44.0,4286.0
86.01861,7.0,1.0,16.0,44.0,4329.0
87.01321,7.0,1.0,16.0,45.0,4373.0
88.00447,7.0,1.0,16.0,47.0,4424.0
89.01362,7.0,1.0,16.0,47.0,4481.0
90.01446,7.0,1.0,16.0,48.0,4527.0
91.0092,7.0,1.0,16.0,49.0,4575.0
92.01203,7.0,1.0,16.0,49.0,4627.0
93.03742,7.0,1.0,16.0,49.0,4663.0
94.04318,7.0,1.0,16.0,49.0,4713.0
95.01413,7.0,1.0,16.0,50.0,4763.0
96.01681,7.0,1.0,16.0,49.0,4808.0
97.00624,7.0,1.0,16.0,49.0,4851.0
98.00526,7.0,1.0,16.0,51.0,4899.0
99.00289,7.0,1.0,17.0,52.0,4960.0
100.01768,7.0,1.0,17.0,53.0,5003.0
101.00181,7.0,1.0,17.0,56.0,5050.0
102.00263,7.0,1.0,17.0,56.0,5103.0
103.00065,7.0,1.0,19.0,55.0,5153.0
104.01513,7.0,1.0,19.0,56.0,5201.0
105.02491,7.0,1.0,19.0,60.0,5254.0
106.00197,7.0,1.0,19.0,62.0,5309.0
107.0242,7.0,1.0,19.0,63.0,5356.0
108.01004,7.0,1.0,19.0,63.0,5404.0
109.03006,7.0,1.0,19.0,64.0,5460.0
110.0432,7.0,1.0,19.0,63.0,5510.0
111.0767,7.0,1.0,19.0,64.0,5559.0
112.00037,7.0,1.0,19.0,66.0,5598.0
113.01051,7.0,1.0,19.0,67.0,5651.0
114.03419,7.0,1.0,19.0,66.0,5698.0
115.029,7.0,1.0,19.0,66.0,5742.0
116.0031,7.0,1.0,19.0,67.0,5797.0
117.00279,7.0,1.0,18.0,68.0,5859.0
118.05667,7.0,1.0,18.0,68.0,5922.0
119.04254,7.0,1.0,18.0,68.0,5981.0
120.01048,7.0,1.0,18.0,68.0,6025.0
121.0182,7.0,1.0,18.0,67.0,6066.0
122.00618,7.0,1.0,18.0,66.0,6110.0
123.04673,7.0,1.0,18.0,68.0,6165.0
124.02125,7.0,1.0,18.0,71.0,6203.0
125.00625,7.0,1.0,18.0,72.0,6253.0
126.02743,7.0,1.0,18.0,72.0,6306.0
127.02405,7.0,1.0,18.0,73.0,6368.0
128.01161,7.0,1.0,18.0,73.0,6418.0
129.0391,7.0,1.0,18.0,73.0,6466.0
130.01186,7.0,1.0,18.0,73.0,6512.0
131.03374,7.0,1.0,18.0,74.0,6557.0
132.02013,7.0,1.0,18.0,74.0,6608.0
133.01369,7.0,1.0,18.0,74.0,6659.0
134.00039,7.0,1.0,18.0,75.0,6702.0
135.00072,7.0,1.0,18.0,75.0,6751.0
136.01487,7.0,1.0,19.0,75.0,6804.0
137.02899,7.0,1.0,19.0,77.0,6862.0
138.01047,7.0,1.0,20.0,78.0,6912.0
139.00526,7.0,1.0,19.0,78.0,6956.0
140.05415,7.0,1.0,18.0,78.0,7004.0
141.01386,7.0,1.0,18.0,78.0,7041.0
142.00448,7.0,1.0,18.0,78.0,7092.0
143.00834,7.0,1.0,19.0,78.0,7133.0
144.00499,7.0,1.0,19.0,78.0,7177.0
145.02563,7.0,1.0,19.0,79.0,7222.0
146.00164,7.0,1.0,19.0,79.0,7272.0
147.0895,7.0,1.0,19.0,79.0,7309.0
148.00216,7.0,1.0,19.0,80.0,7355.0
149.0216,7.0,1.0,19.0,84.0,7405.0
0.0,8.0,1.0,0.0,0.0,0.0
1.0283,8.0,1.0,0.0,0.0,57.0
2.00399,8.0,1.0,0.0,2.0,115.0
3.01217,8.0,1.0,0.0,4.0,163.0
4.03301,8.0,1.0,0.0,5.0,200.0
5.02482,8.0,1.0,0.0,4.0,252.0
6.00073,8.0,1.0,0.0,5.0,302.0
7.00238,8.0,1.0,0.0,6.0,357.0
8.01614,8.0,1.0,0.0,6.0,411.0
9.0051,8.0,1.0,0.0,8.0,467.0
10.00307,8.0,1.0,0.0,9.0,516.0
11.0252,8.0,1.0,0.0,9.0,556.0
12.00098,8.0,1.0,0.0,11.0,610.0
13.01723,8.0,1.0,0.0,12.0,674.0
14.01642,8.0,1.0,0.0,11.0,740.0
15.00003,8.0,1.0,0.0,11.0,788.0
16.06232,8.0,1.0,0.0,13.0,841.0
17.00912,8.0,1.0,1.0,13.0,902.0
18.01016,8.0,1.0,1.0,14.0,954.0
19.02724,8.0,1.0,1.0,15.0,1019.0
20.00275,8.0,1.0,1.0,17.0,1077.0
21.01029,8.0,1.0,1.0,19.0,1120.0
22.00648,8.0,1.0,1.0,19.0,1172.0
23.00494,8.0,1.0,1.0,21.0,1232.0
24.0323,8.0,1.0,1.0,22.0,1285.0
25.01406,8.0,1.0,1.0,23.0,1334.0
26.0068,8.0,1.0,1.0,23.0,1389.0
27.03115,8.0,1.0,1.0,23.0,1446.0
28.03563,8.0,1.0,1.0,25.0,1490.0
29.03822,8.0,1.0,2.0,26.0,1542.0
30.00252,8.0,1.0,3.0,27.0,1599.0
31.00373,8.0,1.0,3.0,30.0,1647.0
32.02614,8.0,1.0,3.0,30.0,1694.0
33.00878,8.0,1.0,3.0,30.0,1748.0
34.01391,8.0,1.0,3.0,31.0,1803.0
35.00536,8.0,1.0,3.0,32.0,1858.0
36.01382,8.0,1.0,3.0,33.0,1921.0
37.00513,8.0,1.0,3.0,35.0,1974.0
38.01731,8.0,1.0,3.0,36.0,2032.0
39.00522,8.0,1.0,3.0,38.0,2102.0
40.01284,8.0,1.0,3.0,38.0,2158.0
41.01923,8.0,1.0,3.0,39.0,2206.0
42.00583,8.0,1.0,3.0,40.0,2247.0
43.01555,8.0,1.0,3.0,40.0,2295.0
44.00243,8.0,1.0,2.0,42.0,2340.0
45.0203,8.0,1.0,2.0,44.0,2394.0
46.00061,8.0,1.0,2.0,44.0,2430.0
47.02469,8.0,1.0,2.0,43.0,2476.0
48.00071,8.0,1.0,2.0,43.0,2531.0
49.06711,8.0,1.0,3.0,44.0,2570.0
50.07422,8.0,1.0,2.0,44.0,2617.0
51.00892,8.0,1.0,3.0,45.0,2663.0
52.03912,8.0,1.0,4.0,47.0,2707.0
53.01991,8.0,1.0,5.0,47.0,2753.0
54.00587,8.0,1.0,4.0,48.0,2807.0
55.03489,8.0,1.0,3.0,48.0,2856.0
56.01117,8.0,1.0,3.0,48.0,2895.0
57.01606,8.0,1.0,3.0,49.0,2940.0
58.0001,8.0,1.0,3.0,49.0,2991.0
59.01119,8.0,1.0,3.0,52.0,3034.0
60.00086,8.0,1.0,3.0,55.0,3096.0
61.00232,8.0,1.0,2.0,55.0,3141.0
62.04068,8.0,1.0,2.0,56.0,3187.0
63.01094,8.0,1.0,2.0,56.0,3227.0
64.01234,8.0,1.0,2.0,57.0,3282.0
65.00965,8.0,1.0,1.0,56.0,3336.0
66.01334,8.0,1.0,1.0,56.0,3382.0
67.00407,8.0,1.0,1.0,56.0,3434.0
68.0595,8.0,1.0,2.0,57.0,3481.0
69.06345,8.0,1.0,2.0,57.0,3531.0
70.0066,8.0,1.0,2.0,58.0,3580.0
71.01597,8.0,1.0,2.0,59.0,3634.0
72.01179,8.0,1.0,1.0,59.0,3692.0
73.02467,8.0,1.0,2.0,59.0,3744.0
74.01067,8.0,1.0,2.0,60.0,3812.0
75.00823,8.0,1.0,2.0,60.0,3855.0
76.01224,8.0,1.0,2.0,62.0,3908.0
77.00829,8.0,1.0,2.0,64.0,3947.0
78.04696,8.0,1.0,2.0,64.0,3997.0
79.04443,8.0,1.0,2.0,65.0,4041.0
80.01849,8.0,1.0,2.0,66.0,4091.0
81.01468,8.0,1.0,2.0,67.0,4155.0
82.06758,8.0,1.0,2.0,68.0,4207.0
83.00365,8.0,1.0,3.0,69.0,4244.0
84.00417,8.0,1.0,3.0,69.0,4300.0
85.00055,8.0,1.0,2.0,74.0,4351.0
86.0014,8.0,1.0,2.0,76.0,4402.0
87.00676,8.0,1.0,2.0,77.0,4456.0
88.02364,8.0,1.0,2.0,81.0,4508.0
89.0653,8.0,1.0,2.0,82.0,4564.0
90.04446,8.0,1.0,2.0,82.0,4628.0
91.0266,8.0,1.0,2.0,83.0,4672.0
92.03161,8.0,1.0,2.0,83.0,4731.0
93.01496,8.0,1.0,2.0,83.0,4783.0
94.02925,8.0,1.0,2.0,84.0,4826.0
95.01499,8.0,1.0,2.0,85.0,4875.0
96.01199,8.0,1.0,2.0,86.0,4921.0
97.01528,8.0,1.0,2.0,86.0,4979.0
98.00486,8.0,1.0,2.0,86.0,5025.0
99.0163,8.0,1.0,2.0,86.0,5060.0
100.0353,8.0,1.0,2.0,86.0,5103.0
101.00348,8.0,1.0,2.0,88.0,5148.0
102.01279,8.0,1.0,2.0,88.0,5209.0
103.00777,8.0,1.0,1.0,89.0,5264.0
104.04396,8.0,1.0,1.0,89.0,5329.0
105.02529,8.0,1.0,1.0,92.0,5380.0
106.01122,8.0,1.0,0.0,94.0,5423.0
107.01103,8.0,1.0,0.0,98.0,5472.0
108.00542,8.0,1.0,1.0,101.0,5529.0
109.01555,8.0,1.0,1.0,101.0,5587.0
110.00944,8.0,1.0,1.0,103.0,5641.0
111.03063,8.0,1.0,1.0,105.0,5687.0
112.02823,8.0,1.0,1.0,105.0,5733.0
113.0199,8.0,1.0,2.0,106.0,5777.0
114.00592,8.0,1.0,2.0,107.0,5818.0
115.03092,8.0,1.0,1.0,109.0,5866.0
116.00199,8.0,1.0,1.0,112.0,5926.0
117.00402,8.0,1.0,1.0,113.0,5979.0
118.00284,8.0,1.0,1.0,115.0,6043.0
119.00249,8.0,1.0,1.0,115.0,6091.0
120.022,8.0,1.0,1.0,116.0,6152.0
121.01177,8.0,1.0,1.0,116.0,6206.0
122.00034,8.0,1.0,1.0,117.0,6260.0
123.00965,8.0,1.0,1.0,118.0,6301.0
124.04571,8.0,1.0,1.0,119.0,6343.0
125.00578,8.0,1.0,1.0,119.0,6391.0
126.00294,8.0,1.0,1.0,119.0,6437.0
127.05213,8.0,1.0,1.0,119.0,6481.0
128.0119,8.0,1.0,1.0,119.0,6526.0
129.0001,8.0,1.0,1.0,119.0,6584.0
130.03395,8.0,1.0,1.0,119.0,6627.0
131.00454,8.0,1.0,3.0,121.0,6671.0
132.01085,8.0,1.0,3.0,122.0,6731.0
133.00801,8.0,1.0,3.0,124.0,6789.0
134.07687,8.0,1.0,4.0,125.0,6844.0
135.00029,8.0,1.0,4.0,127.0,6887.0
136.00078,8.0,1.0,4.0,128.0,6930.0
137.01331,8.0,1.0,4.0,130.0,6980.0
138.01677,8.0,1.0,4.0,130.0,7041.0
139.01903,8.0,1.0,4.0,131.0,7095.0
140.01714,8.0,1.0,4.0,131.0,7158.0
141.00254,8.0,1.0,4.0,131.0,7204.0
142.01496,8.0,1.0,4.0,134.0,7255.0
143.01113,8.0,1.0,4.0,133.0,7316.0
144.00164,8.0,1.0,5.0,133.0,7361.0
145.01083,8.0,1.0,5.0,134.0,7405.0
146.00366,8.0,1.0,5.0,135.0,7443.0
147.05372,8.0,1.0,5.0,135.0,7491.0
148.0347,8.0,1.0,5.0,137.0,7537.0
149.00986,8.0,1.0,5.0,138.0,7569.0
0.0,9.0,1.0,0.0,0.0,0.0
1.00192,9.0,1.0,-1.0,2.0,55.0
2.00889,9.0,1.0,-1.0,4.0,97.0
3.02167,9.0,1.0,-1.0,6.0,137.0
4.00171,9.0,1.0,0.0,6.0,188.0
5.00002,9.0,1.0,0.0,7.0,234.0
6.00016,9.0,1.0,0.0,7.0,280.0
7.02149,9.0,1.0,0.0,9.0,339.0
8.00515,9.0,1.0,0.0,9.0,386.0
9.002,9.0,1.0,0.0,9.0,450.0
10.00183,9.0,1.0,0.0,9.0,509.0
11.01751,9.0,1.0,0.0,11.0,542.0
12.01751,9.0,1.0,0.0,11.0,590.0
13.00736,9.0,1.0,0.0,12.0,638.0
14.02606,9.0,1.0,0.0,13.0,701.0
15.01332,9.0,1.0,0.0,14.0,739.0
16.06278,9.0,1.0,0.0,15.0,784.0
17.0122,9.0,1.0,0.0,18.0,831.0
18.00373,9.0,1.0,1.0,18.0,871.0
19.00994,9.0,1.0,0.0,18.0,914.0
20.00299,9.0,1.0,0.0,19.0,967.0
21.00502,9.0,1.0,0.0,20.0,1013.0
22.0049,9.0,1.0,0.0,19.0,1057.0
23.00551,9.0,1.0,0.0,19.0,1108.0
24.01815,9.0,1.0,0.0,20.0,1156.0
25.01918,9.0,1.0,0.0,21.0,1207.0
26.01947,9.0,1.0,0.0,23.0,1248.0
27.05202,9.0,1.0,0.0,24.0,1295.0
28.06764,9.0,1.0,0.0,26.0,1340.0
29.00171,9.0,1.0,2.0,28.0,1395.0
30.00001,9.0,1.0,2.0,29.0,1446.0
31.01391,9.0,1.0,2.0,29.0,1500.0
32.00111,9.0,1.0,2.0,31.0,1540.0
33.00288,9.0,1.0,2.0,33.0,1595.0
34.00036,9.0,1.0,2.0,34.0,1647.0
35.01994,9.0,1.0,2.0,35.0,1690.0
36.0858,9.0,1.0,2.0,34.0,1741.0
37.01931,9.0,1.0,2.0,38.0,1786.0
38.00524,9.0,1.0,2.0,40.0,1850.0
39.05889,9.0,1.0,2.0,40.0,1896.0
40.00197,9.0,1.0,2.0,42.0,1941.0
41.02389,9.0,1.0,2.0,43.0,1993.0
42.0289,9.0,1.0,2.0,43.0,2048.0
43.01571,9.0,1.0,2.0,43.0,2093.0
44.00997,9.0,1.0,3.0,43.0,2151.0
45.01563,9.0,1.0,3.0,43.0,2198.0
46.00871,9.0,1.0,3.0,43.0,2255.0
47.0067,9.0,1.0,3.0,44.0,2301.0
48.00234,9.0,1.0,3.0,47.0,2358.0
49.00295,9.0,1.0,3.0,47.0,2411.0
50.05667,9.0,1.0,3.0,47.0,2468.0
51.00843,9.0,1.0,3.0,47.0,2522.0
52.04135,9.0,1.0,3.0,49.0,2575.0
53.16418,9.0,1.0,3.0,50.0,2638.0
54.02092,9.0,1.0,3.0,52.0,2670.0
55.01942,9.0,1.0,3.0,52.0,2719.0
56.02808,9.0,1.0,3.0,53.0,2761.0
57.00059,9.0,1.0,3.0,53.0,2809.0
58.00547,9.0,1.0,3.0,54.0,2851.0
59.00171,9.0,1.0,3.0,56.0,2894.0
60.03325,9.0,1.0,2.0,55.0,2940.0
61.0067,9.0,1.0,2.0,55.0,2993.0
62.02591,9.0,1.0,2.0,55.0,3051.0
63.07534,9.0,1.0,2.0,56.0,3111.0
64.00472,9.0,1.0,3.0,56.0,3163.0
65.01331,9.0,1.0,3.0,56.0,3216.0
66.04612,9.0,1.0,4.0,54.0,3258.0
67.02394,9.0,1.0,4.0,54.0,3310.0
68.01206,9.0,1.0,3.0,54.0,3357.0
69.01236,9.0,1.0,3.0,56.0,3407.0
70.00692,9.0,1.0,3.0,56.0,3456.0
71.03248,9.0,1.0,3.0,57.0,3498.0
72.00466,9.0,1.0,3.0,57.0,3542.0
73.0023,9.0,1.0,3.0,58.0,3590.0
74.03653,9.0,1.0,3.0,58.0,3648.0
75.01546,9.0,1.0,2.0,59.0,3692.0
76.00377,9.0,1.0,2.0,61.0,3738.0
77.01931,9.0,1.0,2.0,62.0,3791.0
78.00405,9.0,1.0,2.0,64.0,3855.0
79.00472,9.0,1.0,2.0,65.0,3912.0
80.00467,9.0,1.0,1.0,65.0,3960.0
81.06025,9.0,1.0,1.0,65.0,4008.0
82.00889,9.0,1.0,1.0,68.0,4068.0
83.00033,9.0,1.0,1.0,69.0,4116.0
84.00696,9.0,1.0,1.0,69.0,4179.0
85.00005,9.0,1.0,2.0,69.0,4229.0
86.01716,9.0,1.0,2.0,70.0,4280.0
87.02,9.0,1.0,2.0,71.0,4339.0
88.0015,9.0,1.0,2.0,73.0,4383.0
89.00916,9.0,1.0,2.0,75.0,4442.0
90.0004,9.0,1.0,1.0,77.0,4485.0
91.02008,9.0,1.0,1.0,79.0,4537.0
92.0134,9.0,1.0,1.0,82.0,4578.0
93.01443,9.0,1.0,1.0,83.0,4623.0
94.01343,9.0,1.0,1.0,84.0,4670.0
95.02366,9.0,1.0,1.0,87.0,4723.0
96.00504,9.0,1.0,1.0,86.0,4769.0
97.00247,9.0,1.0,3.0,88.0,4831.0
98.02446,9.0,1.0,3.0,89.0,4893.0
99.02641,9.0,1.0,3.0,93.0,4945.0
100.00139,9.0,1.0,3.0,93.0,4991.0
101.00617,9.0,1.0,3.0,96.0,5034.0
102.01502,9.0,1.0,2.0,96.0,5093.0
103.00614,9.0,1.0,2.0,96.0,5146.0
104.00858,9.0,1.0,2.0,96.0,5186.0
105.00197,9.0,1.0,2.0,97.0,5238.0
106.00703,9.0,1.0,2.0,98.0,5274.0
107.03905,9.0,1.0,2.0,99.0,5321.0
108.00874,9.0,1.0,2.0,100.0,5376.0
109.00898,9.0,1.0,2.0,101.0,5433.0
110.01565,9.0,1.0,2.0,102.0,5497.0
111.01185,9.0,1.0,2.0,102.0,5551.0
112.00837,9.0,1.0,2.0,102.0,5604.0
113.023,9.0,1.0,3.0,102.0,5657.0
114.00047,9.0,1.0,3.0,102.0,5703.0
115.03021,9.0,1.0,3.0,103.0,5756.0
116.00606,9.0,1.0,3.0,106.0,5814.0
117.00864,9.0,1.0,4.0,105.0,5859.0
118.0147,9.0,1.0,5.0,106.0,5921.0
119.07479,9.0,1.0,7.0,106.0,5972.0
120.02894,9.0,1.0,7.0,107.0,6024.0
121.00277,9.0,1.0,7.0,108.0,6069.0
122.00018,9.0,1.0,7.0,108.0,6103.0
123.03108,9.0,1.0,8.0,109.0,6165.0
124.03915,9.0,1.0,8.0,111.0,6211.0
125.01069,9.0,1.0,8.0,111.0,6263.0
126.02623,9.0,1.0,8.0,111.0,6315.0
127.02318,9.0,1.0,7.0,117.0,6369.0
128.01484,9.0,1.0,7.0,117.0,6416.0
129.00292,9.0,1.0,7.0,118.0,6468.0
130.01127,9.0,1.0,7.0,119.0,6517.0
131.02237,9.0,1.0,7.0,120.0,6563.0
132.01009,9.0,1.0,7.0,121.0,6618.0
133.02259,9.0,1.0,8.0,122.0,6659.0
134.03252,9.0,1.0,8.0,122.0,6703.0
135.13849,9.0,1.0,8.0,122.0,6753.0
136.0267,9.0,1.0,8.0,122.0,6800.0
137.00075,9.0,1.0,8.0,124.0,6852.0
138.03109,9.0,1.0,8.0,125.0,6906.0
139.02175,9.0,1.0,8.0,126.0,6966.0
140.0224,9.0,1.0,9.0,127.0,7008.0
141.01586,9.0,1.0,9.0,127.0,7055.0
142.00041,9.0,1.0,9.0,128.0,7114.0
143.00372,9.0,1.0,8.0,129.0,7156.0
144.00159,9.0,1.0,8.0,131.0,7201.0
145.0141,9.0,1.0,8.0,131.0,7252.0
146.01844,9.0,1.0,7.0,131.0,7310.0
147.0276,9.0,1.0,9.0,132.0,7363.0
148.05806,9.0,1.0,9.0,133.0,7411.0
149.01802,9.0,1.0,9.0,135.0,7460.0
